VERSAO 3 NOH 84
NPONTO    END ID                  TIPO ALARME                         ALM  TP INF OR ES UTR ASDU  KCONV1       KCONV2   SUPCMD CD PR VALTIPICO "ESTACAO~MODULO~DESCRICAO" 
  4896      0 TST1TR7--RPC1----SynF  D REF.TEMPO_OK/PERDA_REF.TEMPO    96 315 186  0 S  86  1     1.000000     0.000000      0  1 3      1.00 "TST1~TR7~UPC1-Falha Sincronismo"
  4897      0 TST1TR7--RPC2----SynF  D REF.TEMPO_OK/PERDA_REF.TEMPO    96 316 186  0 S  86  1     1.000000     0.000000      0  1 3      1.00 "TST1~TR7~UPC2-Falha Sincronismo"
  4898      0 TST1TR7--RPC1----InFl  D SEM_DEFEITO/COM_DEFEITO         42 315 109  0 S  86  1     1.000000     0.000000      0  1 3      1.00 "TST1~TR7~UPC1-Falha interna"
  4899      0 TST1TR7--RPC2----InFl  D SEM_DEFEITO/COM_DEFEITO         42 316 109  0 S  86  1     1.000000     0.000000      0  1 3      1.00 "TST1~TR7~UPC2-Falha interna"
  4900      0 TST1TR7--RPC1----CmHt  D SEM_COMUNICAÇÃO/NORMAL          33 315 185  0 S  86  1     1.000000     0.000000      0  0 3      0.00 "TST1~TR7~UPC1-Saúde Comunicação"
  4901      0 TST1TR7--RPC2----CmHt  D SEM_COMUNICAÇÃO/NORMAL          33 316 185  0 S  86  1     1.000000     0.000000      0  0 3      0.00 "TST1~TR7~UPC2-Saúde Comunicação"
  4902      0 TST1TR7--ATCC----CmHt  D SEM_COMUNICAÇÃO/NORMAL          33  71 185  0 S  86  1     1.000000     0.000000      0  0 3      0.00 "TST1~TR7~Relé Contr.Tap (90)-SaúdeComun"
  4903      0 TST1TR7--YPMT----InFl  D SEM_DEFEITO/COM_DEFEITO         42 244 109  0 S  86  1     1.000000     0.000000      0  1 3      0.00 "TST1~TR7~Monit.Temperatura MT-FalhInt"
  4904      0 TST1TR7--YPBX----InFl  D SEM_DEFEITO/COM_DEFEITO         42 268 109  0 S  86  1     1.000000     0.000000      0  1 3      1.00 "TST1~TR7~Monit.Gases(63X1)-Falha interna"
  4905      0 TST1TR7--YFA1----Fail  D NORMAL/ALARMADO                  8  23   7  0 S  86  1     1.000000     0.000000      0  1 1      1.00 "TST1~TR7~VF1-Falha"
  4906      0 TST1TR7--YFA2----Fail  D NORMAL/ALARMADO                  8  24   7  0 S  86  1     1.000000     0.000000      0  1 1      1.00 "TST1~TR7~VF2-Falha"
  4907      0 TST1TR7--YFAN----MDsj  D NORMAL/ALARMADO                  8  41 255  0 S  86  1     1.000000     0.000000      0  1 1      1.00 "TST1~TR7~VF-Minidisjuntor"
  4908      0 TST1TR7--YFA1----On    D DESLIGADO/LIGADO                10  23  19  0 S  86  1     1.000000     0.000000      0  2 3      0.00 "TST1~TR7~VF1-Lig"
  4909      0 TST1TR7--YFA2----On    D DESLIGADO/LIGADO                10  24  19  0 S  86  1     1.000000     0.000000      0  2 3      0.00 "TST1~TR7~VF2-Lig"
  4910      0 TST1TR7--YFAN----Manl  D AUTOMÁTICO/MANUAL               41  41   4  0 S  86  1     1.000000     0.000000      0  2 2      0.00 "TST1~TR7~VF-Autom/Manual"
  4911      0 TST1TR7--YCDC----Locl  D REMOTO/LOCAL                    38  60  17  0 S  86  1     1.000000     0.000000      0  2 2      1.00 "TST1~TR7~CDC do TR-Remoto/Local"
  4912      0 TST1TR7--YCDC----Blck  D DESBLOQUEADO/BLOQUEADO          34  60  34  0 S  86  1     1.000000     0.000000      0  2 1      1.00 "TST1~TR7~CDC do TR-Bloqueio"
  4913      0 TST1TR7--ATCC----SynF  D REF.TEMPO_OK/PERDA_REF.TEMPO    96  71 186  0 S  86  1     1.000000     0.000000      0  1 3      0.00 "TST1~TR7~Relé Contr.Tap (90)-FalhSinc"
  4914      0 TST1TR7--ATCC----InFl  D SEM_DEFEITO/COM_DEFEITO         42  71 109  0 S  86  1     1.000000     0.000000      0  1 3      1.00 "TST1~TR7~Relé Contr.Tap (90)-Falha interna"
  4932      0 TST1TR7--ATCC----Remt  D LOCAL/REMOTO                    39  71  18  0 S  86  1     1.000000     0.000000      0  2 2      0.00 "TST1~TR7~Relé Contr.Tap (90)-Local/Remoto"
  4933      0 TST1TR7--ATCC----LoDC  D NORMAL/ALARMADO                  8  71  14  0 S  86  1     1.000000     0.000000      0  1 1      0.00 "TST1~TR7~Relé Contr.Tap (90)-Falta CC"
  4934      0 TST1TR7--ATCC          D EXCLUÍDO/INCLUÍDO               36  71   0  0 S  86  1     1.000000     0.000000      0  2 2      0.00 "TST1~TR7~Relé Contr.Tap (90)"
  4935      0 TST1TR7--YPAR----Fail  D NORMAL/ALARMADO                  8  55   7  0 S  86  1     1.000000     0.000000      0  1 1      0.00 "TST1~TR7~Paralelismo TR-Falha"
  4936      0 TST1TR7--YPAR----InPl  D PARALELO/INDIVIDUAL             60  55 218  0 S  86  1     1.000000     0.000000      0  2 2      1.00 "TST1~TR7~Paralelismo TR-Indiv/Paral."
  4937      0 TST1TR7--ZTCO          D EXCLUÍDO/INCLUÍDO               36  50   0  0 S  86  1     1.000000     0.000000      0  2 2      0.00 "TST1~TR7~Telecontrole do módulo"
  4938      0 TST1TR7--ZPNL----LoDC  D NORMAL/ALARMADO                  8 176  14  0 S  86  1     1.000000     0.000000      0  1 1      1.00 "TST1~TR7~Painel-Falta CC"
  4939      0 TST1TR7--PSEP----Incl  D EXCLUÍDO/INCLUÍDO               36 339   9  0 S  86  1     1.000000     0.000000      0  2 2      1.00 "TST1~TR7~Sist.Especial Prot.-Inclusão"
